"customername","customerkey","gender","yearlyincome","city","country","state"
"Dale Rai",21739,"M","20000.00","Watford","United Kingdom","England"
"Taylor Walker",21740,"F","20000.00","Watford","United Kingdom","England"
"Alexa Sanders",21741,"F","70000.00","N. Vancouver","Canada","British Columbia"
"Katelyn Cox",21742,"F","90000.00","Langford","Canada","British Columbia"
"Theresa Rubio",21743,"F","110000.00","Chula Vista","United States","California"
"Emma Perry",21744,"F","110000.00","Colma","United States","California"
"Isabel Foster",21745,"F","80000.00","Langley","Canada","British Columbia"
"Xavier Hernandez",21746,"M","40000.00","Lakewood","United States","California"
"Derrick Munoz",21747,"M","70000.00","Burlingame","United States","California"
"Wyatt Harris",21748,"M","70000.00","Glendale","United States","California"
"Ashley Williams",21749,"F","50000.00","Colma","United States","California"
"Carlos Reed",21750,"M","60000.00","Coronado","United States","California"
"Logan Jackson",21751,"M","60000.00","Lemon Grove","United States","California"
"Rafael Li",21752,"M","60000.00","Calgary","Canada","Alberta"
"Morgan Robinson",21753,"F","70000.00","Beaverton","United States","Oregon"
"Kaitlyn Lopez",21754,"F","70000.00","Salem","United States","Oregon"
"Lucas White",21755,"M","70000.00","Coronado","United States","California"
"Allison Carter",21756,"F","80000.00","Santa Monica","United States","California"
"Elijah Wang",21757,"M","80000.00","Kirkland","United States","Washington"
"Patricia Malhotra",21758,"F","40000.00","Burien","United States","Washington"
"Jennifer Moore",21759,"F","40000.00","Westminster","Canada","British Columbia"
"Margaret She",21760,"F","40000.00","Concord","United States","California"
"Makayla Sanders",21761,"F","70000.00","Torrance","United States","California"
"Andrea Hernandez",21762,"F","70000.00","Everett","United States","Washington"
"Madison Brown",21763,"F","40000.00","Redmond","United States","Washington"
"Nathan Smith",21764,"M","40000.00","Newton","Canada","British Columbia"
"Nathaniel Kelly",21765,"M","40000.00","Oregon City","United States","Oregon"
"Jesse Baker",21766,"M","70000.00","Bellflower","United States","California"
"Mariah Ramirez",21767,"F","70000.00","Bellflower","United States","California"
"Cole Watson",21768,"M","70000.00","Metchosin","Canada","British Columbia"
"Michele Rubio",21769,"F","70000.00","Concord","United States","California"
"Brandon Thomas",21770,"M","60000.00","Renton","United States","Washington"
"Sheena Shen",21771,"F","60000.00","Chula Vista","United States","California"
"Sarah Patterson",21772,"F","60000.00","Portland","United States","Oregon"
"Alyssa Rogers",21773,"F","60000.00","Beaverton","United States","Oregon"
"Brian James",21774,"M","70000.00","Torrance","United States","California"
"Sean Ramirez",21775,"M","70000.00","Newport Beach","United States","California"
"Daniel Thompson",21776,"M","70000.00","Kirkland","United States","Washington"
"Emily Gonzales",21777,"F","70000.00","Sooke","Canada","British Columbia"
"Louis Shen",21778,"M","70000.00","Burien","United States","Washington"
"Maurice Black",21779,"M","70000.00","Concord","United States","California"
"Pedro Gonzalez",21780,"M","70000.00","Concord","United States","California"
"Jared Rivera",21781,"M","60000.00","Lynnwood","United States","Washington"
"Blake Martin",21782,"M","40000.00","Beaverton","United States","Oregon"
"Kate Goel",21783,"F","40000.00","Burien","United States","Washington"
"Mackenzie Hernandez",21784,"F","60000.00","Edmonds","United States","Washington"
"Tabitha Rodriguez",21785,"F","60000.00","Chula Vista","United States","California"
"Alexis Bennett",21786,"F","60000.00","El Cajon","United States","California"
"Rebecca Allen",21787,"F","60000.00","Grossmont","United States","California"
"Spencer Barnes",21788,"M","60000.00","La Jolla","United States","California"
"Lauren Griffin",21789,"F","60000.00","National City","United States","California"
"James Diaz",21790,"M","60000.00","San Carlos","United States","California"
"Richard Price",21791,"M","70000.00","San Gabriel","United States","California"
"Cassidy Butler",21792,"F","60000.00","Victoria","Canada","British Columbia"
"Kaylee Scott",21793,"F","60000.00","Oregon City","United States","Oregon"
"Alyssa James",21794,"F","60000.00","Downey","United States","California"
"Tristan Bennett",21795,"M","70000.00","San Gabriel","United States","California"
"Emma Ward",21796,"F","40000.00","Sooke","Canada","British Columbia"
"Kelvin Gao",21797,"M","60000.00","Bellingham","United States","Washington"
"Jade Sanders",21798,"F","60000.00","Lebanon","United States","Oregon"
"Angel Cook",21799,"M","60000.00","Lebanon","United States","Oregon"
"Heidi Raman",21800,"F","60000.00","Concord","United States","California"
"Kaylee Cooper",21801,"F","70000.00","Palo Alto","United States","California"
"Lucas Roberts",21802,"M","80000.00","Spring Valley","United States","California"
"Emily Thomas",21803,"F","40000.00","Cliffside","Canada","British Columbia"
"Brooke Cook",21804,"F","60000.00","Port Orchard","United States","Washington"
"Lucas Russell",21805,"M","60000.00","Renton","United States","Washington"
"Kelvin Xie",21806,"M","60000.00","Burbank","United States","California"
"Amanda Campbell",21807,"F","60000.00","Colma","United States","California"
"Amanda Green",21808,"F","60000.00","Downey","United States","California"
"Sydney Thompson",21809,"F","60000.00","Lakewood","United States","California"
"Justin Miller",21810,"M","70000.00","Spring Valley","United States","California"
"Olivia Williams",21811,"F","70000.00","Colma","United States","California"
"Adrian Bailey",21812,"M","60000.00","Seattle","United States","Washington"
"Dalton Brown",21813,"M","60000.00","Shawnee","Canada","British Columbia"
"Noah Edwards",21814,"M","60000.00","W. Linn","United States","Oregon"
"Gabrielle Green",21815,"F","60000.00","Shawnee","Canada","British Columbia"
"Jackson Roberts",21816,"M","130000.00","Saarlouis","Germany","Saarland"
"Jerome Carlson",21817,"M","160000.00","Watford","United Kingdom","England"
"Willie Chander",21818,"M","110000.00","Orly","France","Val de Marne"
"Chloe Howard",21819,"F","110000.00","Tremblay-en-France","France","Seine Saint Denis"
"Priscilla Nath",21820,"F","110000.00","Villeneuve-d'Ascq","France","Nord"
"Clayton Tang",21821,"M","120000.00","Bonn","Germany","Hamburg"
"Gregory Yuan",21822,"M","170000.00","York","United Kingdom","England"
"Lacey She",21823,"F","120000.00","Berlin","Germany","Hessen"
"Warren She",21824,"M","150000.00","London","United Kingdom","England"
"Randy Zhou",21825,"M","110000.00","Berlin","Germany","Hamburg"
"Abigail Russell",21826,"F","120000.00","Ingolstadt","Germany","Bayern"
"Mallory Gutierrez",21827,"F","130000.00","Neunkirchen","Germany","Saarland"
"Megan Gonzales",21828,"F","130000.00","Paderborn","Germany","Nordrhein-Westfalen"
"Carolyn Rana",21829,"F","170000.00","W. York","United Kingdom","England"
"Briana Alonso",21830,"F","170000.00","Warrington","United Kingdom","England"
"Yolanda Anand",21831,"F","80000.00","Roubaix","France","Nord"
"Pedro Gill",21832,"M","80000.00","Roncq","France","Nord"
"Terrance Gonzalez",21833,"M","90000.00","Duesseldorf","Germany","Hessen"
"Jillian Mehta",21834,"F","90000.00","Hof","Germany","Bayern"
"Susan Sun",21835,"F","120000.00","Saarlouis","Germany","Saarland"
"Kristi Raman",21836,"F","120000.00","Werne","Germany","Nordrhein-Westfalen"
"Megan Alexander",21837,"F","80000.00","Frankfurt","Germany","Hessen"
"Gerald Ruiz",21838,"M","90000.00","Poing","Germany","Saarland"
"Billy Diaz",21839,"M","110000.00","Kirkby","United Kingdom","England"
"Stacey Ma",21840,"F","130000.00","Maidenhead","United Kingdom","England"
"Lindsay Nath",21841,"F","160000.00","York","United Kingdom","England"
"Neil Navarro",21842,"M","100000.00","Hamburg","Germany","Hamburg"
"Erica He",21843,"F","110000.00","Leipzig","Germany","Nordrhein-Westfalen"
"James Long",21844,"M","80000.00","Hof","Germany","Bayern"
"Cameron Miller",21845,"M","100000.00","Metz","France","Moselle"
"Kevin Patterson",21846,"M","110000.00","Ingolstadt","Germany","Bayern"
"Dominic Madan",21847,"M","130000.00","London","United Kingdom","England"
"Jerry Raje",21848,"M","130000.00","London","United Kingdom","England"
"Todd Chow",21849,"M","80000.00","Saint Ouen","France","Somme"
"Bruce Subram",21850,"M","80000.00","Paris","France","Seine (Paris)"
"Stuart Railson",21851,"M","90000.00","Frankfurt","Germany","Hessen"
"Eduardo Johnson",21852,"M","90000.00","Kassel","Germany","Hessen"
"Stacy Gutierrez",21853,"F","100000.00","Saarlouis","Germany","Saarland"
"Theresa Schmidt",21854,"F","130000.00","London","United Kingdom","England"
"Paula Martin",21855,"F","170000.00","Woolston","United Kingdom","England"
"Emmanuel Sanchez",21856,"M","120000.00","Lancaster","United Kingdom","England"
"Jay Dominguez",21857,"M","150000.00","London","United Kingdom","England"
"Curtis Lin",21858,"M","160000.00","London","United Kingdom","England"
"Monica Kim",21859,"F","70000.00","Colombes","France","Hauts de Seine"
"Jacquelyn Gill",21860,"F","80000.00","Les Ulis","France","Essonne"
"Kari Romero",21861,"F","90000.00","Paris","France","Seine (Paris)"
"Michele Prasad",21862,"F","90000.00","Roissy en Brie","France","Seine et Marne"
"Shawna Anand",21863,"F","90000.00","München","Germany","Hessen"
"Martin Lopez",21864,"M","100000.00","Billericay","United Kingdom","England"
"Kathryn Andersen",21865,"F","130000.00","London","United Kingdom","England"
"Shannon Zhu",21866,"F","80000.00","Cergy","France","Val d'Oise"
"Michael Ruggiero",21867,"M","90000.00","Saint-Denis","France","Seine Saint Denis"
"Aimee Ma",21868,"F","100000.00","Berlin","Germany","Nordrhein-Westfalen"
"Tina Prasad",21869,"F","100000.00","Bonn","Germany","Nordrhein-Westfalen"
"Jenny Raji",21870,"F","130000.00","Runcorn","United Kingdom","England"
"Devin Adams",21871,"M","60000.00","Cranbourne","Australia","Victoria"
"Alisha Lal",21872,"F","60000.00","Silverwater","Australia","New South Wales"
"Kellie Navarro",21873,"F","70000.00","Lane Cove","Australia","New South Wales"
"Brandi Suarez",21874,"F","70000.00","Port Macquarie","Australia","New South Wales"
"Cedric Nara",21875,"M","70000.00","Silverwater","Australia","New South Wales"
"Philip Rubio",21876,"M","70000.00","Newcastle","Australia","New South Wales"
"Clarence Xu",21877,"M","80000.00","Coffs Harbour","Australia","New South Wales"
"Bryant Rana",21878,"M","80000.00","Newcastle","Australia","New South Wales"
"Louis Ma",21879,"M","70000.00","Cranbourne","Australia","Victoria"
"Marc Gomez",21880,"M","70000.00","Cranbourne","Australia","Victoria"
"Nicole Lewis",21881,"F","80000.00","Caloundra","Australia","Queensland"
"Jay Ramos",21882,"M","90000.00","Gold Coast","Australia","Queensland"
"Patricia Kapoor",21883,"F","70000.00","Sunbury","Australia","Victoria"
"Tabitha Gutierrez",21884,"F","80000.00","Sydney","Australia","New South Wales"
"Rafael Xu",21885,"M","90000.00","Port Macquarie","Australia","New South Wales"
"Jill Carlson",21886,"F","100000.00","Newcastle","Australia","New South Wales"
"Ashley White",21887,"F","80000.00","Hobart","Australia","Tasmania"
"Evan Edwards",21888,"M","100000.00","Gold Coast","Australia","Queensland"
"Sheila Navarro",21889,"F","110000.00","Goulburn","Australia","New South Wales"
"Tiffany Zeng",21890,"F","120000.00","Darlinghurst","Australia","New South Wales"
"Dawn Nara",21891,"F","110000.00","Lane Cove","Australia","New South Wales"
"Joan Hernandez",21892,"F","100000.00","Springwood","Australia","New South Wales"
"Brandi Hernandez",21893,"F","100000.00","Malabar","Australia","New South Wales"
"David Li",21894,"M","90000.00","Hobart","Australia","Tasmania"
"Kaylee Gonzalez",21895,"F","90000.00","Gold Coast","Australia","Queensland"
"Roy Subram",21896,"M","100000.00","Geelong","Australia","Victoria"
"Francisco Subram",21897,"M","110000.00","St. Leonards","Australia","New South Wales"
"Devon Raji",21898,"M","110000.00","Cranbourne","Australia","Victoria"
"Marie Vazquez",21899,"F","110000.00","Lavender Bay","Australia","New South Wales"
"Robert Jones",21900,"M","80000.00","Beaverton","United States","Oregon"
"Elizabeth Taylor",21901,"F","90000.00","Lake Oswego","United States","Oregon"
"Natalie James",21902,"F","130000.00","Glendale","United States","California"
"Fernando Jenkins",21903,"M","70000.00","Santa Cruz","United States","California"
"Chase Sandberg",21904,"M","70000.00","Langley","Canada","British Columbia"
"Pedro Hernandez",21905,"M","50000.00","Bellingham","United States","Washington"
"Miranda Simmons",21906,"F","50000.00","Bellingham","United States","Washington"
"Jordan Hall",21907,"F","60000.00","Everett","United States","Washington"
"Isabel Hayes",21908,"F","60000.00","Oregon City","United States","Oregon"
"Allison Ward",21909,"F","160000.00","Palo Alto","United States","California"
"Rebekah Perez",21910,"F","30000.00","Bonn","Germany","Nordrhein-Westfalen"
"Joan Ross",21911,"F","20000.00","Saint-Denis","France","Seine Saint Denis"
"Colleen Kumar",21912,"F","20000.00","Dunkerque","France","Nord"
"Arthur Blanco",21913,"M","20000.00","Morangis","France","Essonne"
"Emily Brown",21914,"F","20000.00","Hof","Germany","Bayern"
"Tristan Wood",21915,"M","70000.00","San Francisco","United States","California"
"Jesse Evans",21916,"M","40000.00","Vancouver","Canada","British Columbia"
"Dalton Johnson",21917,"M","40000.00","Redwood City","United States","California"
"Carol Serrano",21918,"F","40000.00","Concord","United States","California"
"Melissa Howard",21919,"F","60000.00","Bremerton","United States","Washington"
"Destiny Bennett",21920,"F","60000.00","Lemon Grove","United States","California"
"Lucas Collins",21921,"M","60000.00","Oak Bay","Canada","British Columbia"
"Bailey Ward",21922,"F","60000.00","Torrance","United States","California"
"Justin Williams",21923,"M","60000.00","Seattle","United States","Washington"
"Eduardo Cook",21924,"M","40000.00","Yakima","United States","Washington"
"Tabitha Dominguez",21925,"F","40000.00","Cliffside","Canada","British Columbia"
"Melanie Henderson",21926,"F","60000.00","Woodburn","United States","Oregon"
"Meredith Browning",21927,"F","60000.00","Colma","United States","California"
"Karl Luo",21928,"M","60000.00","Colma","United States","California"
"Karen Perry",21929,"F","60000.00","Coronado","United States","California"
"Marissa Perry",21930,"F","60000.00","Glendale","United States","California"
"Marcus Wood",21931,"M","60000.00","San Francisco","United States","California"
"Leonard Kumar",21932,"M","60000.00","Colma","United States","California"
"Nicole Martin",21933,"F","60000.00","San Carlos","United States","California"
"Jennifer Cox",21934,"F","60000.00","Glendale","United States","California"
"Victoria Simmons",21935,"F","60000.00","Walla Walla","United States","Washington"
"Emma Reed",21936,"F","60000.00","Burbank","United States","California"
"Morgan Ross",21937,"F","60000.00","San Diego","United States","California"
"Savannah Hall",21938,"F","60000.00","Milwaukie","United States","Oregon"
"Thomas Roberts",21939,"M","70000.00","Langford","Canada","British Columbia"
"Alejandro Sharma",21940,"M","90000.00","Coronado","United States","California"
"Gail Moore",21941,"F","60000.00","Santa Monica","United States","California"
"Julia Roberts",21942,"F","80000.00","Lynnwood","United States","Washington"
"Cindy Mehta",21943,"F","80000.00","Wollongong","Australia","New South Wales"
"Daisy Jiménez",21944,"F","90000.00","Matraville","Australia","New South Wales"
"Pearlie Rusek",21945,"F","90000.00","Seaford","Australia","Victoria"
"Michele Deng",21946,"F","90000.00","Port Macquarie","Australia","New South Wales"
"Diane Romero",21947,"F","90000.00","Seaford","Australia","Victoria"
"Ann Madan",21948,"F","100000.00","Findon","Australia","South Australia"
"Clayton Chavez",21949,"M","100000.00","Cloverdale","Australia","South Australia"
"Armando Hernandez",21950,"M","100000.00","Goulburn","Australia","New South Wales"
"Orlando Hernandez",21951,"M","80000.00","Gold Coast","Australia","Queensland"
"Latasha Vazquez",21952,"F","70000.00","Geelong","Australia","Victoria"
"Marvin Vazquez",21953,"M","70000.00","Melton","Australia","Victoria"
"Yolanda Andersen",21954,"F","70000.00","Hobart","Australia","Tasmania"
"Jenny Ferrier",21955,"F","110000.00","Malabar","Australia","New South Wales"
"Jay Kapoor",21956,"M","120000.00","Newcastle","Australia","New South Wales"
"Kathryn Shen",21957,"F","120000.00","North Sydney","Australia","New South Wales"
"Mallory Blanco",21958,"F","130000.00","Springwood","Australia","New South Wales"
"Jimmy Dominguez",21959,"M","130000.00","Sydney","Australia","New South Wales"
"Dawn Liu",21960,"F","70000.00","Cranbourne","Australia","Victoria"
"Chelsea Garcia",21961,"F","70000.00","Hawthorne","Australia","Queensland"
"Kristi Smith",21962,"F","80000.00","Melton","Australia","Victoria"
"Jacquelyn Serrano",21963,"F","80000.00","Milsons Point","Australia","New South Wales"
"Devon Nara",21964,"M","80000.00","Caloundra","Australia","Queensland"
"Bethany Raheem",21965,"F","80000.00","Seaford","Australia","Victoria"
"Ross Sai",21966,"M","90000.00","South Melbourne","Australia","Victoria"
"Charles Sanders",21967,"M","60000.00","Wollongong","Australia","New South Wales"
"Jaime Deng",21968,"M","70000.00","Findon","Australia","South Australia"
"Latoya Deng",21969,"F","70000.00","Malabar","Australia","New South Wales"
"Jada Rivera",21970,"F","60000.00","Warrnambool","Australia","Victoria"
"Warren Shan",21971,"M","60000.00","Gold Coast","Australia","Queensland"
"Mandy She",21972,"F","60000.00","Coffs Harbour","Australia","New South Wales"
"Janet Vazquez",21973,"F","60000.00","Cloverdale","Australia","South Australia"
"Whitney Suri",21974,"F","70000.00","Melton","Australia","Victoria"
"Alfredo Ruiz",21975,"M","60000.00","Perth","Australia","South Australia"
"Jacqueline Torres",21976,"F","60000.00","Sydney","Australia","New South Wales"
"Phillip Malhotra",21977,"M","70000.00","St. Leonards","Australia","New South Wales"
"Tracy Deng",21978,"F","90000.00","Silverwater","Australia","New South Wales"
"Philip Gutierrez",21979,"M","60000.00","Hobart","Australia","Tasmania"
"Beth Moreno",21980,"F","60000.00","East Brisbane","Australia","Queensland"
"Isabella Henderson",21981,"F","60000.00","Brisbane","Australia","Queensland"
"Deborah Lal",21982,"F","60000.00","Bendigo","Australia","Victoria"
"Glenn Liang",21983,"M","60000.00","Cloverdale","Australia","South Australia"
"Kristy Suarez",21984,"F","60000.00","Lane Cove","Australia","New South Wales"
"Eddie Torres",21985,"M","60000.00","Rhodes","Australia","New South Wales"
"Kristi Chapman",21986,"F","60000.00","Findon","Australia","South Australia"
"Theodore Dominguez",21987,"M","70000.00","East Brisbane","Australia","Queensland"
"Alisha Zhao",21988,"F","80000.00","Port Macquarie","Australia","New South Wales"
"Erik Jimenez",21989,"M","80000.00","Rhodes","Australia","New South Wales"
"Alejandro Rai",21990,"M","80000.00","Rockhampton","Australia","Queensland"
"Teresa Gill",21991,"F","80000.00","Seaford","Australia","Victoria"
"Alejandro Zhang",21992,"M","80000.00","Warrnambool","Australia","Victoria"
"Craig Sanz",21993,"M","70000.00","Bendigo","Australia","Victoria"
"Natasha Ruiz",21994,"F","90000.00","Seaford","Australia","Victoria"
"Kathryn Raji",21995,"F","70000.00","Port Macquarie","Australia","New South Wales"
"Amy Gao",21996,"F","60000.00","East Brisbane","Australia","Queensland"
"Dennis Xu",21997,"M","80000.00","Warrnambool","Australia","Victoria"
"Erik Hernandez",21998,"M","90000.00","East Brisbane","Australia","Queensland"
"Julia Barnes",21999,"F","90000.00","Geelong","Australia","Victoria"
"Cynthia Chandra",22000,"F","100000.00","Hervey Bay","Australia","Queensland"
"Gregory Chander",22001,"M","70000.00","Hobart","Australia","Tasmania"
"Kristen Chen",22002,"F","30000.00","Malabar","Australia","New South Wales"
"Jill Navarro",22003,"F","40000.00","South Melbourne","Australia","Victoria"
"Meghan Ortega",22004,"F","60000.00","Coffs Harbour","Australia","New South Wales"
"Pamela Mehta",22005,"F","70000.00","Melbourne","Australia","Victoria"
"Jon Nara",22006,"M","70000.00","South Melbourne","Australia","Victoria"
"Kaylee Hernandez",22007,"F","30000.00","Issaquah","United States","Washington"
"Alisha Ye",22008,"F","40000.00","Cliffside","Canada","British Columbia"
"Ross Alvarez",22009,"M","40000.00","Coronado","United States","California"
"Henry Lopez",22010,"M","40000.00","Burlingame","United States","California"
"Richard Patterson",22011,"M","30000.00","Redmond","United States","Washington"
"Regina Malhotra",22012,"F","30000.00","Colma","United States","California"
"Marcus Jenkins",22013,"M","30000.00","Milwaukie","United States","Oregon"
"Jose Gonzales",22014,"M","30000.00","Haney","Canada","British Columbia"
"Mary Turner",22015,"F","30000.00","Shawnee","Canada","British Columbia"
"Terrence Andersen",22016,"M","30000.00","Burien","United States","Washington"
"Sharon She",22017,"F","30000.00","Matraville","Australia","New South Wales"
"Todd Sun",22018,"M","40000.00","Warrnambool","Australia","Victoria"
"Rachel Bryant",22019,"F","40000.00","Shawnee","Canada","British Columbia"
"Jaime Shan",22020,"M","40000.00","Geelong","Australia","Victoria"
"Ethan White",22021,"M","30000.00","Renton","United States","Washington"
"Christopher Davis",22022,"M","30000.00","Redwood City","United States","California"
"Rafael Chen",22023,"M","30000.00","Beverly Hills","United States","California"
"Samuel Chen",22024,"M","40000.00","Colma","United States","California"
"Riley Peterson",22025,"F","40000.00","Coronado","United States","California"
"Bridget Kennedy",22026,"F","30000.00","Cliffside","Canada","British Columbia"
"Franklin Luo",22027,"M","30000.00","Cliffside","Canada","British Columbia"
"Jodi Shen",22028,"F","30000.00","Hobart","Australia","Tasmania"
"Laura Gao",22029,"F","40000.00","Silverwater","Australia","New South Wales"
"Barbara Shen",22030,"F","40000.00","Seaford","Australia","Victoria"
"Jorge Cai",22031,"M","40000.00","Wollongong","Australia","New South Wales"
"Ivan Fernandez",22032,"M","40000.00","Melbourne","Australia","Victoria"
"Marshall Zhao",22033,"M","50000.00","Springwood","Australia","New South Wales"
"Seth Clark",22034,"M","40000.00","Grossmont","United States","California"
"Ryan Wilson",22035,"M","40000.00","Redwood City","United States","California"
"Gabriella Hall",22036,"F","40000.00","Downey","United States","California"
"Angela Gonzales",22037,"F","40000.00","Seattle","United States","Washington"
"Isabella Jackson",22038,"F","50000.00","Grossmont","United States","California"
"Marissa Simmons",22039,"F","50000.00","Lemon Grove","United States","California"
"Devin Brown",22040,"M","50000.00","Woodland Hills","United States","California"
"Paige Morris",22041,"F","60000.00","Haney","Canada","British Columbia"
"Abigail Bryant",22042,"F","70000.00","Beverly Hills","United States","California"
"Trinity Cox",22043,"F","70000.00","La Jolla","United States","California"
"Connor Young",22044,"M","80000.00","San Carlos","United States","California"
"Cameron Chen",22045,"M","80000.00","Burien","United States","Washington"
"Jasmine Sanders",22046,"F","80000.00","Walla Walla","United States","Washington"
"David Gonzales",22047,"M","90000.00","Beverly Hills","United States","California"
"Grace Washington",22048,"F","100000.00","San Francisco","United States","California"
"Allen Patel",22049,"M","130000.00","Berkeley","United States","California"
"Richard Bailey",22050,"M","90000.00","Burnaby","Canada","British Columbia"
"Lauren Rogers",22051,"F","90000.00","Bellingham","United States","Washington"
"Zachary Butler",22052,"M","110000.00","Bellflower","United States","California"
"Jaime Goel",22053,"M","120000.00","Berkeley","United States","California"
"Russell Raji",22054,"M","120000.00","Berkeley","United States","California"
"Hannah Clark",22055,"F","120000.00","Beverly Hills","United States","California"
"Alex Howard",22056,"M","40000.00","Olympia","United States","Washington"
"Kyle Ross",22057,"M","40000.00","Yakima","United States","Washington"
"Jake Zukowski",22058,"M","40000.00","Cliffside","Canada","British Columbia"
"Jonathan Johnson",22059,"M","40000.00","Langley","Canada","British Columbia"
"Evan Hill",22060,"M","40000.00","Lake Oswego","United States","Oregon"
"Jenny Goel",22061,"F","60000.00","Cerritos","United States","California"
"Cameron Flores",22062,"M","60000.00","Downey","United States","California"
"Joanna Suarez",22063,"F","10000.00","Malabar","Australia","New South Wales"
"Lawrence Carlson",22064,"M","20000.00","Sunbury","Australia","Victoria"
"Roy Martin",22065,"M","20000.00","Brisbane","Australia","Queensland"
"Paula Munoz",22066,"F","70000.00","Berkeley","United States","California"
"Julia Jackson",22067,"F","70000.00","Bellingham","United States","Washington"
"Sean James",22068,"M","100000.00","Beverly Hills","United States","California"
"Bailey Reed",22069,"F","100000.00","Beverly Hills","United States","California"
"Eduardo Brown",22070,"M","110000.00","Colma","United States","California"
"Gabriel Carter",22071,"M","110000.00","Coronado","United States","California"
"Devin Russell",22072,"M","160000.00","Woodland Hills","United States","California"
"Timothy Sanders",22073,"M","90000.00","Bellingham","United States","Washington"
"Richard Washington",22074,"M","100000.00","W. Linn","United States","Oregon"
"Pedro Patel",22075,"M","110000.00","Bellflower","United States","California"
"Nelson Vazquez",22076,"M","110000.00","Colma","United States","California"
"Marvin Rubio",22077,"M","110000.00","Concord","United States","California"
"William Martin",22078,"M","120000.00","Glendale","United States","California"
"Katherine Perez",22079,"F","70000.00","N. Vancouver","Canada","British Columbia"
"Caitlin Sanchez",22080,"F","70000.00","Sooke","Canada","British Columbia"
"Olivia Clark",22081,"F","100000.00","W. Linn","United States","Oregon"
"Lucas Barnes",22082,"M","110000.00","Berkeley","United States","California"
"David Flores",22083,"M","110000.00","Berkeley","United States","California"
"Francis Gomez",22084,"M","110000.00","Chula Vista","United States","California"
"Toni Mehta",22085,"F","110000.00","Colma","United States","California"
"Chelsea Sanchez",22086,"F","110000.00","Concord","United States","California"
"Joan Coleman",22087,"F","120000.00","Coronado","United States","California"
"Hannah Diaz",22088,"F","130000.00","Glendale","United States","California"
"Mason Gray",22089,"M","130000.00","Novato","United States","California"
"Alexandra Miller",22090,"F","70000.00","West Covina","United States","California"
"Kayla Griffin",22091,"F","80000.00","Lynnwood","United States","Washington"
"Andrea Young",22092,"F","90000.00","Tacoma","United States","Washington"
"Sydney Baker",22093,"F","90000.00","Portland","United States","Oregon"
"Jared Watson",22094,"M","90000.00","Walla Walla","United States","Washington"
"Brandon Perry",22095,"M","90000.00","Victoria","Canada","British Columbia"
"Bryce Cooper",22096,"M","70000.00","Bellingham","United States","Washington"
"David Anderson",22097,"M","40000.00","Victoria","Canada","British Columbia"
"Katherine Brooks",22098,"F","50000.00","W. Linn","United States","Oregon"
"Joel Schmidt",22099,"M","80000.00","Colma","United States","California"
"Fernando Hall",22100,"M","80000.00","Port Hammond","Canada","British Columbia"
"Carol White",22101,"F","90000.00","Everett","United States","Washington"
"Eduardo Cox",22102,"M","100000.00","Salem","United States","Oregon"
"Alexandra Hernandez",22103,"F","110000.00","Burlingame","United States","California"
"Richard Adams",22104,"M","110000.00","Daly City","United States","California"
"Taylor Cooper",22105,"F","120000.00","Lemon Grove","United States","California"
"Olivia Long",22106,"F","160000.00","Palo Alto","United States","California"
"Michael Jones",22107,"M","70000.00","Oak Bay","Canada","British Columbia"
"Eduardo Powell",22108,"M","70000.00","Novato","United States","California"
"Jonathan Mitchell",22109,"M","60000.00","Vancouver","Canada","British Columbia"
"Eduardo King",22110,"M","60000.00","Beaverton","United States","Oregon"
"Gabriella King",22111,"F","60000.00","Concord","United States","California"
"Paige Reed",22112,"F","60000.00","Port Hammond","Canada","British Columbia"
"Katherine Garcia",22113,"F","70000.00","W. Linn","United States","Oregon"
"Lucas Martin",22114,"M","70000.00","Cliffside","Canada","British Columbia"
"Dalton Rogers",22115,"M","70000.00","Redmond","United States","Washington"
"Robert Lopez",22116,"M","70000.00","Grossmont","United States","California"
"Sydney Perez",22117,"F","70000.00","Vancouver","Canada","British Columbia"
"Jennifer Parker",22118,"F","70000.00","Vancouver","Canada","British Columbia"
"Hailey Flores",22119,"F","70000.00","Burlingame","United States","California"
"Jennifer Perry",22120,"F","60000.00","Victoria","Canada","British Columbia"
"Jackson Henderson",22121,"M","40000.00","Haney","Canada","British Columbia"
"Rachel Butler",22122,"F","40000.00","Redmond","United States","Washington"
"Isabella Bailey",22123,"F","60000.00","Beverly Hills","United States","California"
"Desiree Alonso",22124,"F","60000.00","Chicago","United States","Illinois"
"Zachary Garcia",22125,"M","60000.00","National City","United States","California"
"Rachel Ward",22126,"F","60000.00","Burlingame","United States","California"
"Marcus Thompson",22127,"M","60000.00","Colma","United States","California"
"Melissa Perry",22128,"F","70000.00","Langford","Canada","British Columbia"
"Chloe Hall",22129,"F","70000.00","Beverly Hills","United States","California"
"Xavier Bryant",22130,"M","70000.00","San Diego","United States","California"
"Jessica Cook",22131,"F","70000.00","Grossmont","United States","California"
"Rachael Mehta",22132,"F","70000.00","Colma","United States","California"
"Xavier Adams",22133,"M","80000.00","Olympia","United States","Washington"
"Leonard Raji",22134,"M","60000.00","Burbank","United States","California"
"Julia Hernandez",22135,"F","70000.00","Renton","United States","Washington"
"Devin Evans",22136,"M","80000.00","El Cajon","United States","California"
"Elizabeth Griffin",22137,"F","60000.00","Newport Beach","United States","California"
"Alexandra Brooks",22138,"F","80000.00","Chula Vista","United States","California"
